ID,RM,RAD,TAX,PRICE
1,6.575,1,296,24
2,6.421,2,242,21.6
3,7.185,2,242,34.7
4,6.998,3,222,33.4
5,6.004,5,311,18.9
6,6.377,5,311,15
7,6.009,5,311,18.9
8,5.889,5,311,21.7
9,5.949,4,307,20.4
10,6.096,4,307,18.2
11,5.834,4,307,19.9
12,5.935,4,307,23.1
13,5.99,4,307,17.5
14,5.456,4,307,20.2
15,5.727,4,307,18.2
16,5.57,4,307,13.6
17,5.965,4,307,19.6
18,6.047,4,307,14.8
19,6.495,4,307,18.4
20,6.674,4,307,21
21,5.713,4,307,12.7
22,6.072,4,307,14.5
23,5.95,4,307,13.2
24,5.701,4,307,13.1
25,6.096,4,307,13.5
26,5.933,5,279,18.9
27,5.841,5,279,20
28,5.85,5,279,21
29,5.966,5,279,24.7
30,6.211,3,233,24.7
31,6.069,3,233,21.2
32,5.682,3,233,19.3
33,5.786,3,233,20
34,6.03,3,233,16.6
35,5.399,3,233,14.4
36,5.602,3,233,19.4
37,5.963,4,243,19.7
38,6.115,4,243,20.5
39,6.511,4,243,25
40,5.998,4,243,23.4
41,5.888,3,469,18.9
42,7.249,5,226,35.4
43,6.383,2,313,24.7
44,6.145,8,284,23.3
45,5.927,8,284,19.6
46,5.741,8,284,18.7
47,5.966,8,284,16
48,6.456,8,284,22.2
49,5.787,4,337,19.4
50,5.878,4,345,22
51,5.594,4,345,17.4
52,5.885,4,345,20.9
53,6.417,4,305,24.2
54,5.961,4,305,21.7
55,6.065,4,305,22.8
56,6.279,5,398,20
57,6.14,5,398,20.8
58,6.232,5,398,21.2
59,5.874,5,398,20.3
60,6.727,4,281,28
61,6.619,4,281,23.9
62,6.302,4,281,24.8
63,6.167,4,281,22.9
64,6.389,3,247,23.9
65,6.63,3,247,26.6
66,6.015,3,247,22.5
67,6.121,3,247,22.2
68,7.007,2,270,23.6
69,7.079,2,270,28.7
70,6.417,2,270,22.6
71,6.405,2,270,22
72,6.442,4,270,22.9
73,6.211,4,270,25
74,6.249,4,270,20.6
75,6.625,2,276,28.4
76,6.163,2,276,21.4
77,8.069,2,276,38.7
78,7.82,2,276,43.8
79,7.416,2,276,33.2
80,6.727,5,384,27.5
81,6.781,5,384,26.5
82,6.405,5,384,18.6
83,6.137,5,384,19.3
84,6.167,5,384,20.1
85,5.851,5,384,19.5
86,5.836,5,384,19.5
87,6.127,5,384,20.4
88,6.474,5,384,19.8
89,6.229,5,384,19.4
90,6.195,5,384,21.7
91,6.715,6,432,22.8
92,5.913,6,432,18.8
93,6.092,6,432,18.7
94,6.254,6,432,18.5
95,5.928,6,432,18.3
96,6.176,6,432,21.2
97,6.021,6,432,19.2
98,5.872,6,432,20.4
99,5.731,6,432,19.3
100,5.87,2,188,22
101,6.004,2,188,20.3
102,5.961,2,188,20.5
103,5.856,2,188,17.3
104,5.879,2,188,18.8
105,5.986,2,188,21.4
106,5.613,2,188,15.7
107,5.693,4,437,16.2
108,6.431,4,437,18
109,5.637,4,437,14.3
110,6.458,4,437,19.2
111,6.326,4,437,19.6
112,6.372,4,437,23
113,5.822,4,437,18.4
114,5.757,4,437,15.6
115,6.335,4,437,18.1
116,5.942,4,437,17.4
117,6.454,4,437,17.1
118,5.857,4,437,13.3
119,6.151,4,437,17.8
120,6.174,4,437,14
121,5.019,4,437,14.4
122,5.403,5,403,13.4
123,5.468,5,403,15.6
124,4.903,5,403,11.8
125,6.13,5,403,13.8
126,5.628,5,403,15.6
127,4.926,5,403,14.6
128,5.186,5,403,17.8
129,5.597,5,403,15.4
130,6.122,5,403,21.5
131,5.404,5,403,19.6
132,5.012,5,403,15.3
133,5.709,5,403,19.4
134,6.129,5,403,17
135,6.152,5,403,15.6
136,5.272,5,403,13.1
137,6.943,5,403,41.3
138,6.066,5,403,24.3
139,6.51,5,403,23.3
140,6.25,5,403,27
141,7.489,5,403,50
142,7.802,5,403,50
143,8.375,5,403,50
144,5.854,5,403,22.7
145,6.101,5,403,25
146,7.929,5,403,50
147,5.877,5,403,23.8
148,6.319,5,403,23.8
149,6.402,5,403,22.3
150,5.875,5,403,17.4
151,5.88,5,403,19.1
152,5.572,5,296,23.1
153,6.416,5,296,23.6
154,5.859,5,296,22.6
155,6.546,5,296,29.4
156,6.02,5,296,23.2
157,6.315,5,296,24.6
158,6.86,5,296,29.9
159,6.98,3,193,37.2
160,7.765,3,193,39.8
161,6.144,3,193,36.2
162,7.155,3,193,37.9
163,6.563,3,193,32.5
164,5.604,3,193,26.4
165,6.153,3,193,29.6
166,7.831,3,193,50
167,6.782,5,398,32
168,6.556,5,398,29.8
169,7.185,5,398,34.9
170,6.951,5,398,37
171,6.739,5,398,30.5
172,7.178,5,398,36.4
173,6.8,1,265,31.1
174,6.604,1,265,29.1
175,7.875,4,255,50
176,7.287,2,329,33.3
177,7.107,2,329,30.3
178,7.274,2,329,34.6
179,6.975,3,402,34.9
180,7.135,3,402,32.9
181,6.162,2,348,24.1
182,7.61,2,348,42.3
183,7.853,4,224,48.5
184,8.034,4,224,50
185,5.891,4,277,22.6
186,6.326,4,277,24.4
187,5.783,4,277,22.5
188,6.064,4,277,24.4
189,5.344,4,277,20
190,5.96,4,277,21.7
191,5.404,4,277,19.3
192,5.807,4,277,22.4
193,6.375,4,277,28.1
194,5.412,4,277,23.7
195,6.182,4,277,25
196,5.888,5,276,23.3
197,6.642,5,276,28.7
198,5.951,5,276,21.5
