1 2 3
1 3 4
1 5 3
1 6 5
1 7 4
1 8 1
1 9 5
1 10 3
1 11 2
1 12 5
1 13 5
1 14 5
1 15 5
1 17 3
1 18 4
1 19 5
1 20 4
1 23 4
1 24 3
1 25 4
1 26 3
1 27 2
1 29 1
1 30 3
1 32 5
1 33 4
1 34 2
1 35 1
1 37 2
1 38 3
1 39 4
1 41 2
1 42 5
1 43 4
1 44 5
1 45 5
1 46 4
1 48 5
1 49 3
1 51 4
1 52 4
1 53 3
1 54 3
1 55 5
1 56 4
1 57 5
1 58 4
1 59 5
1 60 5
1 61 4
1 62 3
1 63 2
1 64 5
1 65 4
1 66 4
1 67 3
1 68 4
1 69 3
1 70 3
1 71 3
1 72 4
1 73 3
1 75 4
1 77 4
1 78 1
1 79 4
1 81 5
1 83 3
1 84 4
1 85 3
1 86 5
1 87 5
1 88 4
1 89 5
1 91 5
1 92 3
1 93 5
1 94 2
1 95 4
1 97 3
1 98 4
1 99 3
1 100 5
1 101 2
1 102 2
1 105 2
1 106 4
1 107 4
1 108 5
1 109 5
1 110 1
1 111 5
1 112 1
1 113 5
1 115 5
1 116 3
1 118 3
1 119 5
1 120 1
1 122 3
1 124 5
1 126 2
1 128 4
1 129 5
1 130 3
1 131 1
1 132 4
1 133 4
1 134 4
1 135 4
1 136 3
1 137 5
1 139 3
1 140 1
1 141 3
1 144 4
1 145 2
1 147 3
1 149 2
1 150 5
2 1 4
2 13 4
2 14 4
2 19 3
2 25 4
2 50 5
2 100 5
2 111 4
3 50 5
4 1 4
4 2 3
4 17 4
4 24 4
4 25 3
4 29 4
4 40 4
4 42 5
4 50 4
4 62 4
4 63 1
4 66 1
4 69 1
4 70 4
4 79 3
4 80 2
4 89 5
4 94 3
4 100 5
4 102 3
4 105 3
4 109 5
4 121 4
4 135 4
4 139 3
4 143 3
4 144 3
4 145 1
5 1 4
5 7 2
5 8 4
5 9 4
5 12 4
5 13 2
5 19 4
5 22 3
5 23 4
5 32 4
5 47 3
5 56 4
5 59 5
5 64 4
5 70 3
5 71 4
5 79 3
5 81 4
5 86 3
5 87 4
5 89 4
5 95 2
5 98 5
5 100 5
5 111 2
5 117 2
5 124 5
5 125 3
5 127 5
5 132 5
5 133 4
5 134 5
5 135 5
5 137 5
6 4 5
6 10 4
6 11 3
6 23 3
6 25 3
6 27 4
6 28 5
6 29 3
6 31 4
6 32 4
6 39 5
6 44 5
6 47 5
6 51 2
6 53 5
6 54 3
6 56 5
6 62 3
6 64 5
6 68 4
6 69 5
6 70 1
6 71 5
6 72 5
6 73 3
6 77 5
6 78 3
6 79 4
6 80 4
6 82 3
6 89 5
6 90 3
6 91 3
6 92 5
6 93 5
6 99 5
6 100 5
6 101 5
6 106 4
6 118 2
6 121 5
6 125 4
6 126 3
6 127 5
6 131 5
6 132 5
6 133 5
6 134 4
6 135 5
6 136 5
6 139 3
6 140 5
6 141 5
6 143 3
6 144 5
7 7 3
7 11 3
7 22 5
7 50 5
7 56 5
7 79 4
7 82 5
7 89 4
7 127 5
8 6 5
8 50 5
9 1 4
9 11 4
9 12 5
9 13 3
9 22 5
9 23 5
9 32 4
9 33 4
9 40 4
9 48 4
9 50 5
9 56 5
9 59 4
9 60 3
9 69 4
9 82 4
9 85 4
9 93 4
9 98 4
9 100 5
9 116 4
9 124 5
9 127 5
9 129 4
9 132 5
9 133 5
9 134 5
9 135 5
9 144 4
10 8 4
10 9 5
10 11 2
10 12 2
10 15 5
10 22 4
10 24 3
10 25 3
10 28 5
10 29 3
10 38 3
10 39 3
10 40 3
10 42 3
10 47 4
10 51 4
10 52 3
10 54 3
10 57 2
10 69 3
10 70 4
10 79 4
10 86 4
10 94 3
10 97 4
10 98 2
10 107 4
10 109 3
10 110 3
10 111 4
10 120 2
10 121 3
11 4 5
11 15 5
11 28 5
11 69 5
11 71 4
11 82 4
11 88 5
11 96 4
11 98 5
11 127 4
11 132 5
11 133 4
12 2 3
12 4 5
12 5 1
12 8 4
12 9 3
12 11 1
12 12 5
12 13 5
12 14 4
12 17 1
12 21 3
12 23 5
12 25 1
12 28 5
12 29 2
12 32 4
12 33 5
12 37 1
12 38 3
12 40 2
12 42 4
12 45 3
12 48 5
12 50 5
12 53 1
12 56 5
12 58 4
12 59 4
12 60 4
12 62 5
12 64 5
12 66 3
12 67 1
12 68 3
12 69 4
12 71 4
12 72 4
12 73 3
12 78 1
12 79 3
12 82 2
12 83 2
12 86 1
12 87 5
12 88 4
12 90 3
12 92 3
12 94 3
12 95 5
12 96 4
12 97 4
12 98 4
12 99 4
12 100 5
12 109 4
12 110 3
12 111 5
12 118 4
12 124 5
12 127 5
12 128 1
12 132 4
12 137 5
12 138 1
12 143 1
12 144 4
12 147 3
12 150 5
13 9 4
13 12 5
13 13 4
13 15 4
13 19 5
13 22 3
13 23 5
13 25 2
13 32 5
13 50 5
13 56 5
13 70 1
13 81 5
13 96 4
13 98 3
13 100 5
13 111 3
13 116 5
13 124 5
13 127 2
14 1 1
